id,name,initiated,start,end,duration,energy,amount,port,payment
3168811,A,MOBILE,09-01-18 7:25:03,09-01-18 7:53:32,0:28:29,8.84,$4.77,CHADEMO,RFID
3168847,A,MOBILE,09-01-18 8:03:16,09-01-18 8:34:34,0:31:18,22.02,$11.89,CHADEMO,CREDITCARD
3169011,A,MOBILE,09-01-18 10:24:43,09-01-18 10:25:01,0:00:18,0,$0.00,CHADEMO,RFID
3169015,A,MOBILE,09-01-18 10:26:03,09-01-18 11:02:07,0:36:04,23.8,$11.66,CHADEMO,RFID
3169054,A,MOBILE,09-01-18 11:07:59,09-01-18 11:39:16,0:31:17,9.87,$4.84,CHADEMO,RFID
3169208,A,MOBILE,09-01-18 13:54:35,09-01-18 14:25:51,0:31:16,11.19,$5.48,CHADEMO,CREDITCARD
3169245,A,DEVICE,09-01-18 14:28:16,09-01-18 14:59:34,0:31:18,15.85,$7.77,CHADEMO,RFID
3169286,A,DEVICE,09-01-18 15:02:03,09-01-18 15:29:54,0:27:51,13.89,$6.81,CHADEMO,CREDITCARD
3169354,A,MOBILE,09-01-18 16:13:19,09-01-18 16:38:18,0:24:59,11.68,$5.72,CHADEMO,CREDITCARD
3169391,A,DEVICE,09-01-18 16:57:35,09-01-18 17:16:40,0:19:05,10.24,$5.02,CHADEMO,CREDITCARD
3169411,A,DEVICE,09-01-18 17:28:05,09-01-18 17:59:21,0:31:16,12.53,$7.14,CHADEMO,CREDITCARD
3169433,A,MOBILE,09-01-18 18:01:12,09-01-18 18:15:33,0:14:21,0.57,$0.32,CHADEMO,CREDITCARD
3169486,A,DEVICE,09-01-18 19:10:47,09-01-18 19:52:45,0:41:58,28.13,$16.03,CHADEMO,CREDITCARD
3169508,A,MOBILE,09-01-18 20:09:29,09-01-18 20:17:19,0:07:50,5.52,$3.15,CHADEMO,RFID
3169515,A,DEVICE,09-01-18 20:19:41,09-01-18 20:19:59,0:00:18,0,$0.00,CHADEMO,CREDITCARD
3169516,A,DEVICE,09-01-18 20:21:23,09-01-18 20:21:41,0:00:18,0,$0.00,CHADEMO,CREDITCARD
3169519,A,MOBILE,09-01-18 20:25:33,09-01-18 21:33:57,1:08:24,44.18,$25.18,CHADEMO,CREDITCARD
3169644,A,DEVICE,09-02-18 4:29:31,09-02-18 7:02:18,2:32:47,62.26,$33.62,CHADEMO,CREDITCARD
3169785,A,MOBILE,09-02-18 7:44:28,09-02-18 8:44:41,1:00:13,27.98,$15.11,CHADEMO,CREDITCARD
3169953,A,MOBILE,09-02-18 10:24:36,09-02-18 11:04:48,0:40:12,20.78,$10.18,CHADEMO,RFID
3170042,A,DEVICE,09-02-18 12:11:48,09-02-18 12:12:05,0:00:17,0,$0.00,CHADEMO,CREDITCARD
